text,question,answer
"Question: Yes, NRA membership is growing. As political pressure in Washington intensifies to heighten government supervision of firearms purchases, the rank and file of the National Rifle Association continues to grow,both in West Virginia and on the national level.","Yes, NRA membership is growing. As political pressure in Washington intensifies to heighten government supervision of firearms purchases, the rank and file of the National Rifle Association continues to grow,both in West Virginia and on the national level.",is nra membership growing?
"Question: Press. with the appropriate letter. For example, to type e, é, e è e, ê. or e. ë, hold, and press one two. Three or four times stop the mouse over each button to. learn its keyboard shortcut a button-to insert its upper case form","Press. with the appropriate letter. For example, to type e, é, e è e, ê. or e. ë, hold, and press one two. Three or four times stop the mouse over each button to. learn its keyboard shortcut a button-to insert its upper case form",how to get french symbols on a keyboard
"Question: $25,210 to $58,910","$25,210 to $58,910",how much does a medical lab technician get paid
Question: Vibrio cholerae,Vibrio cholerae,what caused the cholera epidemic
"Question: It is located in Central/Eastern Africa, and is bordered by the Democratic Republic of the Congo to the west, Uganda to the north, Tanzania to the east, and Burundi to the south.","It is located in Central/Eastern Africa, and is bordered by the Democratic Republic of the Congo to the west, Uganda to the north, Tanzania to the east, and Burundi to the south.",where is rwanda located on the world map
"Question: Your body doesn't have enough oxygen, you could get hypoxemia or hypoxia. These are dangerous conditions. Without oxygen, your brain, liver, and other organs can be damaged just minutes after symptoms start.Hypoxemia (low oxygen in your blood) can cause hypoxia (low oxygen in your tissues) when your blood doesn't carry enough oxygen to your tissues to meet your body's needs.The word hypoxia is sometimes used to describe both problems.","Your body doesn't have enough oxygen, you could get hypoxemia or hypoxia. These are dangerous conditions. Without oxygen, your brain, liver, and other organs can be damaged just minutes after symptoms start.Hypoxemia (low oxygen in your blood) can cause hypoxia (low oxygen in your tissues) when your blood doesn't carry enough oxygen to your tissues to meet your body's needs.The word hypoxia is sometimes used to describe both problems.",what is transient hypoxia
Question: From 60 to 100 beats per minute.,From 60 to 100 beats per minute.,what is a normal heart beat per minute
Question: An associate's degree requires 60 to 64 semester hours or 95 to 105 quarter hours.,An associate's degree requires 60 to 64 semester hours or 95 to 105 quarter hours.,how many credit hours are need for a associates
Question: The Kinneret sardine is the most abundant zooplanktivore fish in the lake.,The Kinneret sardine is the most abundant zooplanktivore fish in the lake.,what is the kinneret sardine?
"Question: It is in Kern County, California in the United States.","It is in Kern County, California in the United States.",where is tehachapi pass
Question: Age 15 (although only adults 18 years or older can be diagnosed with this disorder).,Age 15 (although only adults 18 years or older can be diagnosed with this disorder).,what age can someone develop anti social personality disorder
"Question: anax XR is extended release alprazolam. Alprazolam is in a group of drugs called benzodiazepines. It affects chemicals in the brain that may become unbalanced and cause anxiety. Alprazolam is used to treat anxiety disorders, panic disorders, and anxiety caused by depression.It is definitely available in Australia.","anax XR is extended release alprazolam. Alprazolam is in a group of drugs called benzodiazepines. It affects chemicals in the brain that may become unbalanced and cause anxiety. Alprazolam is used to treat anxiety disorders, panic disorders, and anxiety caused by depression.It is definitely available in Australia.",what is xanax called in australia
"Question: Dionysus is the god of the grape harvest, winemaking and wine, of ritual madness, fertility, theatre and religious ecstasy in Greek mythology.The god of the grape harvest, winemaking and wine, of ritual madness, fertility, theatre and religious ecstasy.","Dionysus is the god of the grape harvest, winemaking and wine, of ritual madness, fertility, theatre and religious ecstasy in Greek mythology.The god of the grape harvest, winemaking and wine, of ritual madness, fertility, theatre and religious ecstasy.",who is dionysus in greek mythology
